NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,AAAAMMJJ,RR,QRR,TN,QTN,HTN,QHTN,TX,QTX,HTX,QHTX,TM,QTM,TNTXM,QTNTXM,TAMPLI,QTAMPLI,TNSOL,QTNSOL,TN50,QTN50,DG,QDG,FFM,QFFM,FF2M,QFF2M,FXY,QFXY,DXY,QDXY,HXY,QHXY,FXI,QFXI,DXI,QDXI,HXI,QHXI,FXI2,QFXI2,DXI2,QDXI2,HXI2,QHXI2,FXI3S,QFXI3S,DXI3S,QDXI3S,HXI3S,QHXI3S,DRR,QDRR
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20201213,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20201214,7.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20201215,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20201216,1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20201218,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20201222,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20201225,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210110,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210115,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210116,9.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210117,1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210122,7.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210124,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210125,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210218,3.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210512,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210522,4.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210525,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210528,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210529,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210530,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210604,11.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210607,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210608,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210612,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210613,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210618,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005002,ARCHIGNAT-SPC,46.332500,2.385833,557,20210619,3.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
